x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,label
4.18138,4.61818,6.15377,8.46815,12.6371,19.2225,27.5008,37.3026,48.1842,58.6167,67.4042,75.0764,80.9983,84.7689,86.9345,88.2496,88.6439,12.1862,17.9267,25.9668,34.1443,41.4654,54.9617,62.5027,70.1071,77.4833,82.4132,48.5448,48.7973,49.0686,49.3556,39.9051,44.2834,48.7948,53.2717,57.2344,21.3171,26.0916,31.8093,36.5576,31.6438,25.9106,59.1363,64.0453,69.5334,73.8181,69.9733,64.5684,32.1218,38.6488,44.7194,48.742,53.2619,58.9161,64.173,59.0321,53.5901,48.763,44.3321,38.3467,34.8151,44.5804,48.6941,53.2803,61.71,53.2607,48.6239,44.4396,26.892,38.3629,49.8439,60.9104,71.3348,80.4818,88.0651,93.8439,95.3037,93.4717,87.5152,79.7853,70.5822,60.0882,48.9968,37.7242,26.2848,18.5638,13.4346,11.962,13.0646,15.9047,15.4508,12.4509,11.3985,12.8936,17.7574,23.8687,31.4311,38.9432,46.6971,51.8762,53.4532,54.7204,53.3894,51.8384,25.333,22.3692,22.4537,26.0216,27.0781,27.1859,25.7593,21.9612,21.991,24.7844,26.6266,26.7119,67.0055,64.1472,62.7203,63.797,62.7044,64.1278,66.5575,71.604,73.7475,74.2632,73.8665,71.8783,67.1639,66.3064,66.6801,66.1773,66.8799,68.336,68.9347,68.4955,Angry
4.15749,4.60759,6.15922,8.48895,12.6677,19.2601,27.5485,37.3646,48.2482,58.6704,67.4403,75.0994,81.0119,84.7737,86.932,88.2407,88.6257,12.1523,17.8875,25.934,34.1223,41.4534,54.9356,62.4771,70.0833,77.4643,82.4023,48.5329,48.8005,49.0864,49.3874,39.9457,44.3238,48.8338,53.3042,57.2615,21.2943,26.0664,31.7911,36.5474,31.6341,25.8938,59.1315,64.0345,69.527,73.815,69.9755,64.5659,32.2097,38.7297,44.7829,48.7976,53.3026,58.9423,64.1884,59.0704,53.6484,48.8361,44.4149,38.4412,34.9081,44.647,48.7523,53.3243,61.7272,53.3075,48.6861,44.5112,26.96,38.4245,49.8968,60.9539,71.3715,80.5105,88.086,93.8575,95.3071,93.4676,87.5059,79.7685,70.5588,60.0576,48.9576,37.6756,26.2261,18.6288,13.4919,12.0118,13.1065,15.9368,15.4617,12.4457,11.3769,12.8605,17.7185,23.8964,31.4606,38.9744,46.7299,51.9338,53.5035,54.7609,53.4266,51.8715,25.394,22.42,22.4965,26.0631,27.1328,27.25,25.7652,21.953,21.9752,24.7644,26.6221,26.7161,67.1072,64.241,62.7977,63.8693,62.7696,64.1908,66.6113,71.6364,73.7729,74.2923,73.9032,71.9382,67.2593,66.3902,66.7568,66.2495,66.9345,68.3569,68.9584,68.5253,Angry
4.16276,4.61623,6.17311,8.5079,12.6879,19.2796,27.5674,37.3839,48.2689,58.6933,67.4666,75.1283,81.0428,84.8046,86.9612,88.2673,88.6493,12.1476,17.8824,25.9263,34.1119,41.4411,54.9302,62.4719,70.0779,77.4614,82.4078,48.5255,48.7953,49.0829,49.3855,39.9544,44.3305,48.8389,53.3083,57.2651,21.2887,26.0594,31.786,36.544,31.631,25.8891,59.1353,64.0353,69.5299,73.8209,69.9816,64.5703,32.2351,38.7483,44.7958,48.8093,53.3125,58.9523,64.2001,59.0845,53.664,48.8531,44.4331,38.4637,34.9349,44.6612,48.7652,53.3357,61.7386,53.3196,48.6998,44.5264,26.9735,38.4363,49.9072,60.9617,71.3784,80.516,88.0897,93.8596,95.3072,93.467,87.5046,79.7642,70.551,60.0457,48.9409,37.6529,26.1966,18.6358,13.5038,12.0263,13.1189,15.943,15.4588,12.4377,11.3617,12.8369,17.6867,23.894,31.4599,38.976,46.7334,51.9439,53.5119,54.7662,53.4308,51.8744,25.4021,22.4241,22.4977,26.0642,27.1374,27.2575,25.7531,21.9354,21.9542,24.7424,26.6047,26.7019,67.1328,64.2618,62.8131,63.8833,62.7813,64.2023,66.6223,71.6432,73.7793,74.3001,73.9128,71.953,67.2832,66.4089,66.7733,66.2647,66.9461,68.3603,68.9626,68.5311,Angry
4.14689,4.6127,6.18287,8.53065,12.7201,19.3186,27.6137,37.4387,48.3263,58.7466,67.508,75.158,81.0588,84.807,86.9549,88.2548,88.6278,12.1229,17.8525,25.9024,34.0978,41.4371,54.911,62.4528,70.0615,77.4487,82.3981,48.5214,48.8014,49.099,49.4114,39.9871,44.3622,48.8685,53.3325,57.2845,21.2721,26.0399,31.7712,36.5349,31.6224,25.876,59.1344,64.0311,69.5289,73.8207,69.9846,64.57,32.3031,38.8093,44.8413,48.8481,53.3386,58.9665,64.2052,59.1058,53.7,48.9021,44.4904,38.5335,35.0054,44.7091,48.8059,53.3646,61.7444,53.3494,48.7429,44.5778,27.0684,38.525,49.9864,61.0313,71.4377,80.5623,88.1211,93.8744,95.3098,93.464,87.4997,79.7565,70.5409,60.0348,48.9307,37.6443,26.1905,18.6891,13.5457,12.0569,13.1422,15.9605,15.4662,12.4355,11.3517,12.8233,17.674,23.9077,31.4689,38.9801,46.7329,51.9787,53.5387,54.7846,53.4503,51.8932,25.4484,22.4612,22.528,26.0934,27.1768,27.3045,25.7611,21.9356,21.9515,24.74,26.6105,26.7111,67.2172,64.3352,62.8721,63.9393,62.8332,64.2584,66.6785,71.6681,73.7899,74.3113,73.9292,71.9916,67.361,66.4747,66.8339,66.3238,66.9998,68.3681,68.9706,68.544,Angry
4.14086,4.60816,6.18248,8.53498,12.7306,19.334,27.6328,37.4592,48.3458,58.7621,67.5181,75.1643,81.0667,84.8176,86.9668,88.2636,88.6327,12.1218,17.8568,25.9084,34.1029,41.4396,54.9061,62.447,70.0562,77.4445,82.3967,48.5221,48.8054,49.1066,49.4228,39.9948,44.3723,48.8818,53.3476,57.3007,21.2726,26.0394,31.77,36.5356,31.6229,25.8765,59.1328,64.0279,69.5241,73.8173,69.9814,64.5682,32.3191,38.8285,44.8624,48.8682,53.3581,58.986,64.2266,59.1297,53.7263,48.9289,44.5187,38.558,35.0221,44.7323,48.8276,53.3856,61.766,53.373,48.7669,44.6031,27.0812,38.543,50.0129,61.0632,71.4707,80.5919,88.1436,93.8886,95.3218,93.4831,87.5321,79.7999,70.5892,60.0828,48.972,37.6778,26.2185,18.6819,13.5372,12.0483,13.1303,15.9463,15.4511,12.4222,11.3403,12.8132,17.6667,23.883,31.4447,38.9555,46.7083,51.9591,53.5177,54.7623,53.4256,51.8667,25.434,22.4429,22.5083,26.0736,27.1553,27.285,25.7394,21.9109,21.9269,24.7175,26.5836,26.6843,67.2059,64.3168,62.8501,63.9146,62.8082,64.2333,66.6556,71.6443,73.7669,74.29,73.9102,71.977,67.3483,66.449,66.8058,66.2944,66.9771,68.3482,68.9523,68.5276,Angry
4.14835,4.62321,6.20675,8.57001,12.7766,19.3885,27.689,37.5081,48.3857,58.7967,67.5518,75.1998,81.1032,84.8522,86.9954,88.2829,88.6435,12.1205,17.852,25.8934,34.078,41.4069,54.8958,62.4302,70.0346,77.42,82.3766,48.507,48.7921,49.0952,49.4138,40.0012,44.3761,48.8824,53.3452,57.2962,21.266,26.0292,31.7589,36.5244,31.6127,25.8674,59.1219,64.0108,69.5077,73.8045,69.9683,64.5549,32.3436,38.8411,44.8734,48.8761,53.3611,58.9936,64.2373,59.1424,53.7369,48.9435,44.5361,38.5756,35.0445,44.7469,48.8383,53.3918,61.7759,53.3814,48.7791,44.6186,27.1892,38.6517,50.1228,61.1712,71.5671,80.6696,88.1943,93.9107,95.332,93.4981,87.5664,79.8526,70.6526,60.1498,49.0371,37.7403,26.2841,18.7113,13.5595,12.0604,13.1285,15.9327,15.4345,12.4119,11.3367,12.8123,17.6675,23.875,31.4214,38.9156,46.6526,51.9358,53.4847,54.7221,53.3877,51.8328,25.4645,22.4643,22.5253,26.0894,27.1731,27.3062,25.7463,21.9146,21.9295,24.7242,26.5853,26.6876,67.2088,64.2865,62.8046,63.8649,62.7588,64.1951,66.6414,71.6336,73.7565,74.2799,73.9037,71.9746,67.3445,66.4093,66.761,66.2506,66.9599,68.3373,68.941,68.5209,Angry
4.15344,4.62453,6.20225,8.55793,12.7576,19.3662,27.6672,37.4912,48.3733,58.7857,67.5399,75.1856,81.0915,84.8437,86.989,88.277,88.6378,12.13,17.8684,25.9088,34.09,41.4158,54.9072,62.442,70.0443,77.426,82.3805,48.516,48.8006,49.1034,49.4217,39.9974,44.3754,48.8843,53.3496,57.3024,21.2681,26.0323,31.7598,36.526,31.6125,25.87,59.1265,64.0171,69.5118,73.808,69.9702,64.5593,32.3184,38.8189,44.8593,48.8712,53.3667,59.0056,64.2472,59.1519,53.7394,48.9344,44.5178,38.5496,35.0203,44.732,48.8324,53.3962,61.7852,53.3858,48.7722,44.602,27.1732,38.6334,50.1035,61.1512,71.5482,80.6538,88.182,93.9013,95.3279,93.501,87.5802,79.8765,70.6837,60.1846,49.0723,37.7746,26.32,18.686,13.5381,12.0424,13.109,15.9111,15.4194,12.4044,11.3376,12.8182,17.6749,23.852,31.3887,38.8731,46.6012,51.8909,53.4391,54.6775,53.3456,51.7936,25.4412,22.4425,22.5037,26.0663,27.1452,27.2768,25.7323,21.9053,21.9232,24.7196,26.5725,26.6717,67.1729,64.2349,62.7507,63.8121,62.708,64.1519,66.6174,71.6131,73.7388,74.2614,73.8833,71.9478,67.3076,66.3567,66.7095,66.2013,66.9327,68.3195,68.9225,68.501,Angry
4.08444,4.57506,6.16881,8.54253,12.7662,19.3985,27.7179,37.5533,48.4327,58.83,67.5551,75.1744,81.055,84.7864,86.9145,88.1885,88.5342,12.082,17.8227,25.8681,34.0575,41.3931,54.8879,62.4121,70.0037,77.3776,82.3259,48.5078,48.8075,49.1261,49.4608,40.0222,44.4051,48.9171,53.3773,57.3232,21.2338,25.9995,31.7271,36.4965,31.585,25.8431,59.1027,63.9891,69.481,73.7751,69.9438,64.5357,32.3378,38.8483,44.8967,48.9061,53.3936,59.027,64.2587,59.1798,53.7746,48.9771,44.5625,38.5834,35.0396,44.7716,48.869,53.4249,61.8007,53.4168,48.8105,44.6425,27.2845,38.7464,50.2139,61.2554,71.6386,80.7208,88.2185,93.9034,95.306,93.4607,87.5301,79.8198,70.6232,60.1253,49.0219,37.7363,26.297,18.7579,13.5954,12.0811,13.1304,15.9188,15.4112,12.394,11.3226,12.7963,17.6495,23.8443,31.366,38.8353,46.549,51.8664,53.4049,54.6354,53.3004,51.7456,25.4884,22.4834,22.5346,26.0863,27.1721,27.3122,25.7234,21.8952,21.9077,24.6991,26.552,26.6563,67.169,64.2108,62.7153,63.7699,62.6615,64.1037,66.573,71.5794,73.7122,74.2402,73.8693,71.9398,67.2981,66.3186,66.6648,66.1525,66.8897,68.2978,68.9064,68.4925,Angry
4.10623,4.59202,6.17668,8.53827,12.7519,19.3771,27.6941,37.5351,48.4228,58.8269,67.5545,75.1731,81.057,84.7915,86.9186,88.1887,88.5322,12.0893,17.8228,25.8684,34.0616,41.4014,54.8856,62.4134,70.0079,77.3843,82.3308,48.5118,48.8131,49.1331,49.4685,40.016,44.4049,48.9239,53.3905,57.3416,21.248,26.0121,31.7348,36.5059,31.595,25.8583,59.1052,63.9946,69.482,73.7751,69.9435,64.5399,32.2965,38.8264,44.89,48.9113,53.4156,59.0611,64.3059,59.2138,53.7959,48.9821,44.5561,38.5599,34.9981,44.764,48.8737,53.4461,61.85,53.4376,48.8151,44.6345,27.2623,38.721,50.1863,61.2281,71.6165,80.7089,88.2216,93.9225,95.3336,93.4908,87.559,79.8445,70.6429,60.1385,49.0267,37.7342,26.2869,18.7614,13.5915,12.0711,13.1166,15.9039,15.3974,12.3787,11.3124,12.7946,17.6542,23.8209,31.3453,38.8183,46.5366,51.8487,53.3916,54.6263,53.2867,51.7294,25.4698,22.467,22.5176,26.0629,27.1442,27.2859,25.7025,21.879,21.8924,24.6822,26.5278,26.6304,67.1287,64.1933,62.7127,63.7676,62.6589,64.0865,66.5356,71.5536,73.693,74.2232,73.8505,71.9138,67.2641,66.3032,66.6527,66.1369,66.8566,68.2891,68.9005,68.4839,Angry
4.1054,4.60089,6.19609,8.56794,12.788,19.4184,27.737,37.5769,48.4596,58.8579,67.5814,75.1964,81.0749,84.8024,86.9228,88.1869,88.5239,12.0713,17.8044,25.8469,34.0374,41.3757,54.8501,62.3752,69.9692,77.3485,82.3051,48.4865,48.7893,49.1109,49.4486,40.011,44.3975,48.9135,53.3772,57.3263,21.2222,25.9851,31.7089,36.483,31.571,25.8334,59.0863,63.9728,69.4623,73.76,69.9274,64.5212,32.3188,38.8307,44.8893,48.9069,53.4032,59.0507,64.2945,59.209,53.7923,48.9846,44.562,38.5692,35.0205,44.767,48.8721,53.437,61.8358,53.4309,48.8147,44.6382,27.2816,38.7401,50.204,61.2429,71.628,80.7131,88.2144,93.9001,95.3,93.4481,87.5145,79.7999,70.5999,60.0978,48.9897,37.7001,26.2585,18.7715,13.6001,12.0777,13.1176,15.8998,15.3841,12.3625,11.2901,12.7617,17.6136,23.8145,31.3236,38.7808,46.4845,51.8213,53.3558,54.5835,53.2456,51.6895,25.487,22.4815,22.5274,26.0703,27.1561,27.3007,25.6929,21.8658,21.8756,24.662,26.5119,26.6189,67.1378,64.1702,62.6708,63.7227,62.6119,64.0508,66.523,71.5508,73.6959,74.2282,73.8602,71.9258,67.2663,66.2705,66.6148,66.0995,66.8414,68.2855,68.8982,68.4864,Angry
